PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1830681,1,0
0.2151759,1,0
0.2357618,1,0
0.2546265,1,0
0.2751458,1,0
0.2988017,1,0
0.3052669,1,0
0.3106498,1,0
0.3299757,1,0
0.335579,1,0
0.3411856,1,0
0.3468611,1,0
0.352096,1,0
0.3574201,1,0
0.3626875,1,0
0.3681328,1,0
0.3733596,1,0
0.3798971,1,0
0.3864618,2,0
0.4059719,2,0
0.4113719,2,0
0.4297924,2,0
0.4356389,2,0
0.4555895,2,0
0.4626446,2,0
0.4819914,2,0
0.5009182,2,0
0.520241,2,0
0.5267585,2,0
0.5322716,2,0
0.5378157,2,0
0.5517593,2,0
0.5577342,2,0
0.562993,2,0
0.5682888,2,0
0.5866683,2,0
0.592354,2,0
0.5977491,2,0
0.6032188,2,0
0.6089809,2,0
0.6142124,2,0
0.6204121,2,0
0.6270372,2,0
0.6456451,3,0
0.6521709,3,0
0.6577289,3,0
0.6631245,3,0
0.6714133,3,0
0.692847,3,0
0.7022121,3,0
0.7224763,3,0
0.7425069,3,0
0.7665471,3,0
0.7878605,3,0
0.7935974,3,0
0.7989209,3,0
0.8040526,3,0
0.8097333,3,0
0.8149053,3,0
0.8211055,3,0
0.8282107,3,0
0.8464393,4,0
0.8525315,4,0
0.8588918,4,0
0.8655046,4,0
0.8708914,4,0
0.8891976,4,0
0.8955373,4,0
0.9138738,4,0
0.9206139,4,0
0.9401096,4,0
0.9594356,4,0
0.9829014,4,0
0.9894203,4,0
0.994696,4,0
1.000051,4,0
1.005557,4,0
1.010668,4,0
1.015803,4,0
1.020922,4,0
1.026422,4,0
1.044775,4,0
1.051262,4,0
1.069999,4,0
1.07655,4,0
1.081914,4,0
1.087283,4,0
1.092408,4,0
1.097542,4,0
1.10273,4,0
1.109013,4,0
1.115561,4,0
1.13442,5,0
1.140254,5,0
1.147893,5,0
1.170431,5,0
1.182841,5,0
1.201679,5,0
1.222998,5,0
