PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.2023136,0,0
0.2352995,0,0
0.2552706,0,0
0.2606739,0,0
0.2668897,0,0
0.2746687,0,0
0.2927515,0,0
0.2984551,0,0
0.3041794,0,0
0.3090959,0,0
0.3142784,0,0
0.3194874,0,0
0.3240097,0,0
0.32931,0,0
0.3348891,0,0
0.3397456,0,0
0.3451052,0,0
0.350092,0,0
0.3547921,0,0
0.3595426,0,0
0.3642934,0,0
0.3691056,0,0
0.3741051,0,0
0.3788973,0,0
0.3840306,0,0
0.3887965,0,0
0.3935814,0,0
0.3983564,0,0
0.4030801,0,0
0.4105358,0,0
0.4240977,0,0
0.4293971,0,0
0.4518746,0,0
0.4601711,0,0
0.4654828,0,0
0.4704701,0,0
0.4752987,0,0
0.4799137,0,0
0.4844304,0,0
0.4890833,0,0
0.4938921,0,0
0.4985338,0,0
0.5033694,0,0
0.508115,0,0
0.5127566,0,0
0.5179014,0,0
0.5244685,0,0
0.5306643,0,0
0.5355987,0,0
0.544935,0,0
0.5502179,0,0
0.5550528,0,0
0.5598177,0,0
0.5649651,0,0
0.5699073,0,0
0.574602,0,0
0.5799278,0,0
0.6021312,0,0
0.6103958,0,0
0.6153019,0,0
0.6201262,0,0
0.6256514,0,0
0.6308347,0,0
0.6357297,0,0
0.6406967,0,0
0.6457764,0,0
0.6506602,0,0
0.655694,0,0
0.6609876,0,0
0.6660278,0,0
0.6710184,0,0
0.6759591,0,0
0.6809423,0,0
0.685991,0,0
0.6910189,0,0
0.6962374,0,0
0.7016716,0,0
0.7069059,0,0
0.7123695,0,0
0.7173648,0,0
0.7223132,0,0
0.727463,0,0
0.7329922,0,0
0.741228,0,0
0.7488785,0,0
0.7537933,0,0
0.7586748,0,0
0.7633561,0,0
0.7681724,0,0
0.773093,0,0
0.7780089,0,0
0.7825576,0,0
0.7873498,0,0
0.7923529,0,0
0.7975712,0,0
0.8024841,0,0
0.8074329,0,0
