PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1719354,0,0
0.1868831,1,0
0.1925278,1,0
0.1971792,1,0
0.2023501,1,0
0.2069261,1,0
0.2112967,1,0
0.2157557,1,0
0.2201472,1,0
0.2245953,1,0
0.2294732,1,0
0.2338061,1,0
0.2396084,1,0
0.2452016,1,0
0.2496588,1,0
0.2539395,1,0
0.258435,1,0
0.2629413,1,0
0.2676224,1,0
0.272471,1,0
0.2770773,1,0
0.2817077,1,0
0.2867892,1,0
0.2924025,1,0
0.2967709,1,0
0.301845,1,0
0.3064081,1,0
0.3111107,1,0
0.3154491,1,0
0.3199439,1,0
0.3259724,1,0
0.3306985,1,0
0.3360564,1,0
0.3415759,1,0
0.3476044,1,0
0.3531807,1,0
0.3577959,1,0
0.3623432,2,0
0.3672802,2,0
0.3728332,2,0
0.3792906,2,0
0.3837051,2,0
0.3883164,2,0
0.3926462,2,0
0.3970864,2,0
0.4016704,2,0
0.4060598,2,0
0.4105541,2,0
0.415157,2,0
0.4194962,2,0
0.4243231,2,0
0.4288132,2,0
0.433226,2,0
0.437658,2,0
0.4426748,2,0
0.4471847,2,0
0.4518505,2,0
0.4561832,2,0
0.4606111,2,0
0.4650924,2,0
0.4695141,2,0
0.4740224,2,0
0.4785311,2,0
0.4830401,2,0
0.4876051,2,0
0.4920736,2,0
0.4967917,2,0
0.5014281,2,0
0.5069961,2,0
0.5113426,2,0
0.5166328,2,0
0.52144,2,0
0.528393,2,0
0.5330823,2,0
0.538486,2,0
0.543622,2,0
0.5487497,2,0
0.5530144,2,0
0.5574171,2,0
0.5635356,2,0
0.5693272,2,0
0.5738877,2,0
0.5785617,2,0
0.5830141,3,0
0.5875513,3,0
0.5919095,3,0
0.5967757,3,0
0.6010899,3,0
0.6069441,3,0
0.6147826,3,0
0.624074,3,0
0.6285239,3,0
0.6328638,3,0
0.6420651,3,0
0.6478275,3,0
0.6521847,3,0
0.6568122,3,0
