PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1536801,0,0
0.1828946,0,0
0.2020564,0,0
0.2083222,0,0
0.2139877,0,0
0.2189545,0,0
0.2239216,0,0
0.2289237,0,0
0.2345469,0,0
0.2395372,0,0
0.2443875,0,0
0.2496375,0,0
0.2544582,0,0
0.2594057,0,0
0.2645904,0,0
0.269842,0,0
0.2912499,0,0
0.2996178,0,0
0.3043957,0,0
0.3093413,0,0
0.3142975,0,0
0.3190315,0,0
0.3237168,0,0
0.3285873,0,0
0.3332533,0,0
0.337885,0,0
0.3426762,0,0
0.3475524,0,0
0.352317,0,0
0.3570708,0,0
0.3617916,0,0
0.3667619,0,0
0.3714374,0,0
0.3761247,0,0
0.3809936,0,0
0.3857956,0,0
0.3909854,0,0
0.3964449,0,0
0.4013625,0,0
0.4068027,0,0
0.4145729,0,0
0.4247452,0,0
0.4596341,1,0
0.4851414,1,0
0.5115147,1,0
0.5300313,1,0
0.5482167,1,0
0.566417,1,0
0.5852736,1,0
0.6037472,1,0
0.6095055,1,0
0.6296314,1,0
0.6365852,1,0
0.6548153,2,0
0.6609774,2,0
0.6663552,2,0
0.6855949,2,0
0.6922898,2,0
0.7108837,2,0
0.7166232,2,0
0.735055,2,0
0.7407469,2,0
0.7630928,2,0
0.7845123,2,0
0.7912566,2,0
0.7976056,2,0
0.8154332,3,0
0.8215524,3,0
0.8270019,3,0
0.8457818,3,0
0.8524202,3,0
0.8706349,3,0
0.8762595,3,0
0.8949708,3,0
0.9039514,3,0
0.9252395,3,0
0.9439814,3,0
0.9494342,3,0
0.9541784,3,0
0.9589712,3,0
0.963629,3,0
0.9684875,3,0
0.9734208,3,0
0.9781643,3,0
0.9828213,3,0
0.9877388,3,0
1.006325,3,0
1.012816,3,0
1.031098,4,0
1.037346,4,0
1.042546,4,0
1.048611,4,0
1.071233,4,0
1.08119,4,0
1.099467,4,0
1.121417,4,0
1.127082,4,0
1.145077,4,0
