PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1543806,0,0
0.1688039,0,0
0.1747842,0,0
0.179833,0,0
0.1847416,0,0
0.1900343,0,0
0.1954172,0,0
0.2004981,0,0
0.2054772,0,0
0.2109176,0,0
0.2160536,0,0
0.2212181,0,0
0.2264808,0,0
0.2316235,0,0
0.2368229,0,0
0.2419999,0,0
0.2471208,0,0
0.2526858,0,0
0.2580305,0,0
0.2631376,0,0
0.268636,0,0
0.2773024,0,0
0.2853105,0,0
0.2905343,0,0
0.2955764,0,0
0.3009792,0,0
0.306077,0,0
0.311167,0,0
0.3164603,0,0
0.3215288,0,0
0.326859,0,0
0.3322715,0,0
0.3372511,0,0
0.3471043,0,0
0.3552028,0,0
0.3603958,0,0
0.3659581,0,0
0.3713603,0,0
0.3765911,0,0
0.3817763,0,0
0.3869445,0,0
0.3924198,0,0
0.3975617,0,0
0.4028185,0,0
0.4094341,0,0
0.4160328,0,0
0.4215099,0,0
0.4303638,0,0
0.4382512,0,0
0.443568,0,0
0.448845,0,0
0.4542416,0,0
0.4597849,0,0
0.4649809,0,0
0.4701691,0,0
0.4755784,0,0
0.4809202,0,0
0.4862717,0,0
0.4917254,0,0
0.4970792,0,0
0.5023536,0,0
0.5076758,0,0
0.5134394,0,0
0.5185477,0,0
0.5239851,0,0
0.5295363,0,0
0.5350735,0,0
0.5403302,0,0
0.546632,0,0
0.5536746,0,0
0.5589246,0,0
0.5644971,1,0
0.5707423,1,0
0.5764446,1,0
0.5854256,1,0
0.5935304,1,0
0.5999811,1,0
0.6068463,1,0
0.6124965,1,0
0.6179958,1,0
0.6232784,1,0
0.6287579,1,0
0.6340748,1,0
0.6395188,1,0
0.6448061,1,0
0.6500496,1,0
0.6556184,1,0
0.6610957,1,0
0.6665571,1,0
0.6718472,1,0
0.677157,1,0
0.6828057,1,0
0.6881691,1,0
0.6938909,1,0
0.6993909,1,0
0.7048958,1,0
0.710333,1,0
