PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1699664,0,0
0.182779,0,0
0.1873568,0,0
0.1915402,0,0
0.1964429,0,0
0.2009304,0,0
0.2074514,0,0
0.2115772,0,0
0.2158589,0,0
0.2202731,0,0
0.2244368,0,0
0.2287019,0,0
0.2328373,0,0
0.2369328,0,0
0.2410824,0,0
0.2457773,0,0
0.2500638,0,0
0.2542007,0,0
0.2582986,0,0
0.262477,0,0
0.2666045,0,0
0.2711378,0,0
0.2752501,0,0
0.2792964,0,0
0.2834349,0,0
0.2875393,0,0
0.2917353,0,0
0.296231,0,0
0.3003634,0,0
0.3045279,0,0
0.3086673,0,0
0.3128407,0,0
0.3171274,0,0
0.3213461,0,0
0.3255942,0,0
0.3296201,0,0
0.3336978,0,0
0.3378402,0,0
0.3421093,0,0
0.3465619,0,0
0.3505912,0,0
0.3546761,0,0
0.3588541,0,0
0.3628477,0,0
0.3722016,0,0
0.3789113,0,0
0.3830529,1,0
0.3884995,1,0
0.3925854,1,0
0.3967299,1,0
0.4009601,1,0
0.4050544,1,0
0.4092731,1,0
0.4135299,1,0
0.4176038,1,0
0.4219471,1,0
0.4274988,1,0
0.4329489,1,0
0.4371523,1,0
0.4412347,1,0
0.4454753,1,0
0.4498075,1,0
0.4538326,1,0
0.4580629,1,0
0.4622307,1,0
0.4664223,1,0
0.4707125,1,0
0.4749592,1,0
0.479133,1,0
0.4832133,1,0
0.4873538,1,0
0.4915104,1,0
0.4957945,1,0
0.5000685,1,0
0.5042106,1,0
0.508346,1,0
0.5124638,1,0
0.5165019,1,0
0.5206791,1,0
0.5251148,1,0
0.5292386,1,0
0.5333347,1,0
0.537484,1,0
0.5416008,1,0
0.5459604,1,0
0.5500531,1,0
0.554166,1,0
0.5582053,1,0
0.562315,1,0
0.5664513,1,0
0.5717132,1,0
0.5775066,1,0
0.5818608,2,0
0.5869741,2,0
0.5910788,2,0
0.595419,2,0
0.5998232,2,0
