PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1756388,0,0
0.1975989,0,0
0.2036539,0,0
0.2091145,0,0
0.2144262,0,0
0.2196667,0,0
0.224848,0,0
0.2314455,0,0
0.2371052,0,0
0.242694,0,0
0.2483168,0,0
0.2538895,0,0
0.2594531,0,0
0.2648627,0,0
0.2708483,0,0
0.2801001,0,0
0.2890057,0,0
0.2944397,0,0
0.3000132,0,0
0.3057029,0,0
0.3115455,0,0
0.3170072,0,0
0.3223883,0,0
0.3279579,0,0
0.3334054,0,0
0.338953,0,0
0.3442339,0,0
0.3496383,0,0
0.3549048,0,0
0.3601888,0,0
0.3654845,0,0
0.3708064,0,0
0.3764065,0,0
0.3817706,0,0
0.3870417,0,0
0.3922256,0,0
0.397747,0,0
0.4030174,0,0
0.4082899,0,0
0.4135627,0,0
0.4188775,0,0
0.4244701,0,0
0.4334492,0,0
0.4415112,0,0
0.4468686,0,0
0.452077,0,0
0.4575222,0,0
0.4630031,0,0
0.4682925,0,0
0.4735967,0,0
0.4789526,0,0
0.4842648,0,0
0.4897153,0,0
0.4950269,0,0
0.5003414,0,0
0.5057749,0,0
0.5110777,0,0
0.5164496,0,0
0.5217801,0,0
0.5271936,0,0
0.5325205,0,0
0.5378225,0,0
0.543262,0,0
0.5490005,0,0
0.5543782,0,0
0.5597293,0,0
0.5651961,0,0
0.570602,0,0
0.5762861,0,0
0.5855501,0,0
0.5937432,0,0
0.599191,0,0
0.6045275,0,0
0.6102143,0,0
0.6156525,0,0
0.6210248,0,0
0.626345,0,0
0.6317507,0,0
0.637125,0,0
0.6427475,0,0
0.6482151,0,0
0.6536311,0,0
0.6590055,0,0
0.6643452,0,0
0.6698688,0,0
0.6752064,0,0
0.6807026,0,0
0.6861285,0,0
0.6916812,0,0
0.6971489,0,0
0.7027974,0,0
0.7083552,0,0
0.7138164,0,0
0.7192852,0,0
0.724715,0,0
0.7306184,0,0
0.7397769,0,0
