PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1696955,0,0
0.1836567,0,0
0.1887549,0,0
0.1949256,0,0
0.1991316,0,0
0.203411,0,0
0.207689,0,0
0.2129515,0,0
0.2182948,0,0
0.2224864,0,0
0.226775,0,0
0.2310136,0,0
0.2362691,0,0
0.2418883,0,0
0.2461297,0,0
0.2514426,0,0
0.2567818,0,0
0.2609064,0,0
0.2663445,0,0
0.271887,0,0
0.275997,0,0
0.2814465,0,0
0.2857424,0,0
0.2910749,0,0
0.2954122,0,0
0.2996606,0,0
0.3049528,0,0
0.3091421,0,0
0.3134537,0,0
0.3176124,0,0
0.3243912,0,0
0.3297739,0,0
0.3350696,0,0
0.3392218,0,0
0.3434009,0,0
0.3476789,0,0
0.35291,0,0
0.3571081,0,0
0.3612602,0,0
0.3654984,0,0
0.3697179,0,0
0.3738962,0,0
0.3780742,0,0
0.3822797,0,0
0.3868098,0,0
0.3909976,0,0
0.3951308,0,0
0.3992982,0,0
0.4090892,0,0
0.4158484,0,0
0.4200397,0,0
0.4244777,0,0
0.4287191,0,0
0.4329444,0,0
0.4370569,0,0
0.4412079,0,0
0.4456621,0,0
0.4528423,0,0
0.457433,0,0
0.4615999,0,0
0.4658233,0,0
0.4698542,0,0
0.4768186,0,0
0.481319,0,0
0.4855334,0,0
0.4907806,0,0
0.4949969,0,0
0.5002214,0,0
0.5054964,0,0
0.5100381,0,0
0.5153616,0,0
0.5195652,0,0
0.5262714,0,0
0.5315431,0,0
0.5370978,0,0
0.5412788,0,0
0.5465706,0,0
0.5519367,0,0
0.5562153,0,0
0.5615289,0,0
0.5657562,0,0
0.5710297,0,0
0.5765169,0,0
0.5808183,0,0
0.5863896,0,0
0.5916752,0,0
0.5958951,0,0
0.6012541,0,0
0.6054717,0,0
0.6107639,0,0
0.6189644,0,0
0.642117,0,0
0.6470842,0,0
0.651828,0,0
0.657177,0,0
0.6616978,0,0
0.665957,0,0
