PlayTime,Score,Coin
56.06519,14,0
56.16519,14,0
56.19213,14,0
56.19789,14,0
56.20396,14,0
56.21053,14,0
56.21494,14,0
56.21982,14,0
56.22488,14,0
56.22911,14,0
56.23335,14,0
56.23785,14,0
56.242,14,0
56.24631,14,0
56.25037,14,0
56.25611,14,0
56.2604,14,0
56.26454,14,0
56.26871,14,0
56.27285,14,0
56.27724,14,0
56.2817,14,0
56.28577,14,0
56.29046,14,0
56.29491,14,0
56.29895,14,0
56.30321,14,0
56.30732,14,0
56.31143,14,0
56.31572,14,0
56.32001,14,0
56.3242,14,0
56.32825,14,0
56.33249,14,0
56.33683,14,0
56.341,14,0
56.34547,14,0
56.34965,14,0
56.35385,14,0
56.35806,14,0
56.36216,14,0
56.3665,14,0
56.37133,14,0
56.37545,14,0
56.37964,14,0
56.3838,14,0
56.38806,14,0
56.39221,14,0
56.39648,14,0
56.40088,14,0
56.40535,14,0
56.40993,14,0
56.4141,14,0
56.41893,14,0
56.4231,14,0
56.42736,14,0
56.43155,14,0
56.43578,14,0
56.43992,14,0
56.44408,14,0
56.44853,14,0
56.45269,14,0
56.45685,14,0
56.46115,14,0
56.46529,14,0
56.46989,14,0
56.47426,14,0
56.47853,14,0
56.48273,14,0
56.48687,14,0
56.49105,14,0
56.49559,14,0
56.49971,14,0
56.50391,14,0
56.50797,14,0
56.51217,14,0
56.51626,14,0
56.5206,14,0
56.52477,14,0
56.5289,14,0
56.53308,14,0
56.5373,14,0
56.54147,14,0
56.54585,14,0
56.55,14,0
56.55416,14,0
56.55837,14,0
56.56242,14,0
56.5667,14,0
56.57096,14,0
56.5751,14,0
56.57919,14,0
56.58332,14,0
56.58752,14,0
56.59179,14,0
56.59614,14,0
56.60043,14,0
56.60456,14,0
56.60865,14,0
56.61272,14,0
56.61698,14,0
56.6214,14,0
56.62545,14,0
56.62953,14,0
56.63356,14,0
56.63766,14,0
56.64172,14,0
56.64579,14,0
56.64989,14,0
56.65388,14,0
56.65793,14,0
56.66235,14,0
56.66679,14,0
56.67093,14,0
56.67512,14,0
56.67958,14,0
56.68404,14,0
56.68849,14,0
56.69312,14,0
56.69729,14,0
56.70144,14,0
56.7057,14,0
56.70973,14,0
56.7141,14,0
56.71818,14,0
56.72252,14,0
56.72699,14,0
56.73131,14,0
56.73965,14,0
56.74393,14,0
56.74838,14,0
56.7527,14,0
56.75684,14,0
56.76106,14,0
56.76511,14,0
56.76966,14,0
56.77401,14,0
56.77806,14,0
56.78226,14,0
56.7865,14,0
56.79074,14,0
56.79489,14,0
56.79924,14,0
56.80343,14,0
56.80758,14,0
56.81171,14,0
56.81617,14,0
56.82039,14,0
56.82456,14,0
56.8287,14,0
56.83287,14,0
56.83706,14,0
56.84131,14,0
56.8459,14,0
56.85006,14,0
56.85433,14,0
56.85864,14,0
56.86297,14,0
56.86732,14,0
56.87164,14,0
56.87577,14,0
56.87999,14,0
56.88412,14,0
56.88843,14,0
56.89291,14,0
56.89698,14,0
56.90121,14,0
56.95959,14,0
56.97246,14,0
56.98221,14,0
56.98792,14,0
56.99388,14,0
56.99849,14,0
57.00396,14,0
57.00935,14,0
57.01365,14,0
57.01909,14,0
57.02519,14,0
57.02977,14,0
57.03503,14,0
57.04036,14,0
57.04453,14,0
57.04978,14,0
57.05521,14,0
57.05967,14,0
57.06501,14,0
57.07049,14,0
57.07467,14,0
57.07984,14,0
57.08393,14,0
57.08952,14,0
57.09479,14,0
57.09887,14,0
57.10424,14,0
57.10863,14,0
57.11459,14,0
57.12011,14,0
57.12532,14,0
57.12945,14,0
57.13496,14,0
57.14033,14,0
57.14489,14,0
57.15036,14,0
57.15453,14,0
57.17813,14,0
57.18285,14,0
57.18732,14,0
57.19184,14,0
57.19595,14,0
57.20086,14,0
57.20517,14,0
57.20928,14,0
57.21348,14,0
57.21809,14,0
57.22224,14,0
57.22661,14,0
57.23082,14,0
57.23523,14,0
57.23944,14,0
57.24429,14,0
57.24865,14,0
57.25309,14,0
57.25746,14,0
57.2617,14,0
57.26658,14,0
57.27126,14,0
57.27549,14,0
57.28006,14,0
57.28428,14,0
57.28873,14,0
57.29319,14,0
57.29787,14,0
57.30208,14,0
57.30651,14,0
57.31123,14,0
57.31548,14,0
57.32005,14,0
57.32458,14,0
57.3289,14,0
57.3333,14,0
57.33773,14,0
57.34215,14,0
57.34645,14,0
57.35093,14,0
57.35517,14,0
57.35965,14,0
57.36376,14,0
57.36828,14,0
57.37316,14,0
57.37736,14,0
57.38181,14,0
57.38742,14,0
57.3919,14,0
57.39594,14,0
57.4004,14,0
57.4062,14,0
57.41031,14,0
57.4148,14,0
57.42063,14,0
57.42595,14,0
57.43014,14,0
57.4344,14,0
57.43875,14,0
57.44296,14,0
57.44727,14,0
57.45158,14,0
57.45578,14,0
57.46039,14,0
57.46466,14,0
57.46909,14,0
57.47332,14,0
57.47776,14,0
57.48188,14,0
57.48597,14,0
57.4901,14,0
57.49469,14,0
57.49898,14,0
57.50314,14,0
57.50724,14,0
57.51149,14,0
57.51558,14,0
57.51992,14,0
57.52429,14,0
57.52837,14,0
57.53287,14,0
57.53698,14,0
57.54109,14,0
57.54536,14,0
57.54958,14,0
57.55378,14,0
57.55787,14,0
57.56191,14,0
57.566,14,0
57.5703,14,0
57.57463,14,0
57.57867,14,0
57.58271,14,0
57.58688,14,0
57.59097,14,0
57.59525,14,0
57.6871,14,0
57.70627,14,0
57.71257,14,0
57.71731,14,0
57.72202,14,0
57.72646,14,0
57.73056,14,0
57.73472,14,0
57.74433,14,0
