PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1560609,0,0
0.1689289,0,0
0.1741538,0,0
0.1790848,0,0
0.1835268,0,0
0.1877943,0,0
0.1921133,0,0
0.1964006,0,0
0.2006217,0,0
0.2048887,0,0
0.209273,0,0
0.2137083,0,0
0.2178964,0,0
0.2220866,0,0
0.2264088,0,0
0.2305906,0,0
0.2347739,0,0
0.2390444,0,0
0.2432151,0,0
0.2477337,0,0
0.2521542,0,0
0.2563803,0,0
0.260777,0,0
0.2650091,0,0
0.2694235,0,0
0.2737541,0,0
0.2778845,0,0
0.2821979,0,0
0.2866167,0,0
0.2908037,0,0
0.2950972,0,0
0.2992554,0,0
0.3035057,0,0
0.3078325,0,0
0.3120398,0,0
0.3162375,0,0
0.3203979,0,0
0.326334,0,0
0.3306124,0,0
0.334778,0,0
0.3389443,0,0
0.3431508,0,0
0.3475388,0,0
0.3517654,0,0
0.3559161,0,0
0.3600959,0,0
0.3643744,0,0
0.3685378,0,0
0.3726973,0,0
0.3768705,0,0
0.381174,0,0
0.3856177,0,0
0.3898029,0,0
0.3940868,0,0
0.3983665,0,0
0.4024892,0,0
0.4067642,0,0
0.4110528,0,0
0.4152499,0,0
0.4196327,0,0
0.4239868,0,0
0.4331486,0,0
0.4403318,1,0
0.4457701,1,0
0.4501717,1,0
0.4543942,1,0
0.458634,1,0
0.4629572,1,0
0.4672075,1,0
0.4714119,1,0
0.4757408,1,0
0.479906,1,0
0.4841497,1,0
0.4885794,1,0
0.4929525,1,0
0.4972405,1,0
0.5028748,1,0
0.5086093,1,0
0.5128466,1,0
0.5170887,1,0
0.5213755,1,0
0.5271314,1,0
0.5315565,1,0
0.5357526,1,0
0.5399318,1,0
0.5442035,1,0
0.5484043,1,0
0.5525949,1,0
0.5567566,1,0
0.5609715,1,0
0.5652761,1,0
0.5698198,1,0
0.574055,1,0
0.5782209,1,0
0.5824328,1,0
0.5866797,1,0
0.5908779,1,0
