PlayTime,Score,Coin
61.67083,6,0
61.77083,6,0
61.79974,6,0
61.80914,6,0
61.81453,6,0
61.81913,6,0
61.82341,6,0
61.82824,6,0
61.83271,6,0
61.83695,6,0
61.84125,6,0
61.84551,6,0
61.8497,6,0
61.85415,6,0
61.85836,6,0
61.86264,6,0
61.86702,6,0
61.8712,6,0
61.87557,6,0
61.87979,6,0
61.884,6,0
61.88824,6,0
61.8926,6,0
61.89694,6,0
61.90119,6,0
61.9054,6,0
61.90979,6,0
61.91418,6,0
61.91836,6,0
61.92296,6,0
61.93117,6,0
61.93861,6,0
61.94306,6,0
61.9473,6,0
61.95156,6,0
61.95573,6,0
61.96008,6,0
61.96443,6,0
61.9686,6,0
61.97288,6,0
61.97971,6,0
61.98394,6,0
61.98809,6,0
61.99282,6,0
61.99708,6,0
62.00127,6,0
62.00546,6,0
62.0102,6,0
62.01445,6,0
62.01863,6,0
62.02277,6,0
62.02702,6,0
62.03133,6,0
62.03551,6,0
62.0399,6,0
62.04407,6,0
62.04829,6,0
62.05244,6,0
62.05663,6,0
62.06083,6,0
62.06497,6,0
62.06935,6,0
62.0737,6,0
62.07786,6,0
62.08213,6,0
62.08627,6,0
62.09046,6,0
62.09459,6,0
62.09888,6,0
62.10338,6,0
62.10779,6,0
62.11204,6,0
62.11642,6,0
62.12062,6,0
62.12488,6,0
62.12903,6,0
62.13325,6,0
62.13742,6,0
62.14156,6,0
62.1461,6,0
62.15028,6,0
62.1544,6,0
62.15855,6,0
62.16266,6,0
62.16692,6,0
62.17105,6,0
62.17533,6,0
62.18177,6,0
62.18602,6,0
62.19016,6,0
62.19468,6,0
62.1988,6,0
62.20295,6,0
62.20724,6,0
62.21182,6,0
62.21624,6,0
62.22044,6,0
62.22491,6,0
62.22912,6,0
62.23354,6,0
62.23766,6,0
62.24199,6,0
62.24613,6,0
62.25029,6,0
62.25446,6,0
62.25859,6,0
62.26277,6,0
62.26689,6,0
62.27126,6,0
62.27548,6,0
62.27968,6,0
62.28392,6,0
62.28806,6,0
62.29224,6,0
62.29638,6,0
62.30064,6,0
62.30483,6,0
62.30914,6,0
62.31332,6,0
62.31745,6,0
62.32157,6,0
62.32576,6,0
62.32984,6,0
62.33401,6,0
62.33818,6,0
62.34229,6,0
62.34671,6,0
62.35473,6,0
62.35911,6,0
62.36327,6,0
62.36743,6,0
62.37155,6,0
62.37595,6,0
62.38247,6,0
62.38693,6,0
62.39115,6,0
62.39535,6,0
62.39964,6,0
62.4038,6,0
62.40805,6,0
62.41228,6,0
62.41652,6,0
62.42069,6,0
62.42492,6,0
62.42914,6,0
62.43331,6,0
62.43765,6,0
62.44184,6,0
62.44606,6,0
62.45024,6,0
62.45432,6,0
62.45849,6,0
62.4626,6,0
62.46678,6,0
62.47095,6,0
62.47527,6,0
62.47947,6,0
62.48362,6,0
62.4878,6,0
62.49205,6,0
62.49618,6,0
62.50035,6,0
62.50449,6,0
62.50867,6,0
62.51308,6,0
62.51717,6,0
62.52139,6,0
62.52558,6,0
62.52998,6,0
62.53424,6,0
62.5384,6,0
62.54258,6,0
62.54674,6,0
62.55112,6,0
62.55527,6,0
62.55937,6,0
62.56355,6,0
62.56772,6,0
62.57192,6,0
62.57609,6,0
62.58233,6,0
62.58656,6,0
62.59074,6,0
62.59492,6,0
62.59932,6,0
62.6035,6,0
62.60818,6,0
62.61243,6,0
62.61681,6,0
62.62094,6,0
62.62511,6,0
62.62949,6,0
62.63391,6,0
62.63839,6,0
62.64257,6,0
62.64691,6,0
62.6511,6,0
62.6552,6,0
62.65947,6,0
62.66361,6,0
62.66775,6,0
62.67195,6,0
62.67631,6,0
62.68076,6,0
62.68492,6,0
62.68911,6,0
62.69342,6,0
62.69778,6,0
62.70214,6,0
62.70634,6,0
