PlayTime,Score,Coin
25.08976,3,0
25.18976,3,0
25.21437,3,0
25.21989,3,0
25.22626,3,0
25.23052,3,0
25.23461,3,0
25.23876,3,0
25.24325,3,0
25.24801,3,0
25.25208,3,0
25.25635,3,0
25.26157,3,0
25.2659,3,0
25.26994,3,0
25.2741,3,0
25.27816,3,0
25.28234,3,0
25.28681,3,0
25.29119,3,0
25.2959,3,0
25.3,3,0
25.30418,3,0
25.30846,3,0
25.31257,3,0
25.31676,3,0
25.32112,3,0
25.32516,3,0
25.32934,3,0
25.3334,3,0
25.33752,3,0
25.3419,3,0
25.34594,3,0
25.34999,3,0
25.35423,3,0
25.35871,3,0
25.36357,3,0
25.36881,3,0
25.37302,3,0
25.37711,3,0
25.38152,3,0
25.38565,3,0
25.38973,3,0
25.39406,3,0
25.39875,3,0
25.40408,3,0
25.41015,3,0
25.41648,3,0
25.42202,3,0
25.42839,3,0
25.43391,3,0
25.43925,3,0
25.44527,3,0
25.45164,3,0
25.45806,3,0
25.46493,3,0
25.47049,3,0
25.47749,3,0
25.48406,3,0
25.49004,3,0
25.49778,3,0
25.50565,3,0
25.513,3,0
25.51964,3,0
25.52498,3,0
25.53006,3,0
25.53521,3,0
25.54057,3,0
25.54553,3,0
25.55086,3,0
25.55573,3,0
25.55996,3,0
25.56412,3,0
25.5681,3,0
25.5722,3,0
25.57643,3,0
25.5806,3,0
25.58467,3,0
25.58866,3,0
25.59277,3,0
25.59677,3,0
25.60105,3,0
25.60515,3,0
25.60915,3,0
25.61322,3,0
25.61725,3,0
25.62145,3,0
25.62572,3,0
25.62975,3,0
25.63387,3,0
25.63791,3,0
25.64199,3,0
25.64624,3,0
25.6506,3,0
25.6547,3,0
25.6587,3,0
25.66276,3,0
25.66676,3,0
25.67097,3,0
25.67536,3,0
25.67943,3,0
25.68363,3,0
25.68773,3,0
25.69181,3,0
25.69615,3,0
25.70022,3,0
25.70428,3,0
25.70842,3,0
25.71245,3,0
25.71667,3,0
25.72062,3,0
25.72479,3,0
25.7288,3,0
25.7328,3,0
25.7369,3,0
25.74137,3,0
25.74583,3,0
25.74987,3,0
25.75389,3,0
25.76203,3,0
25.76618,3,0
25.77037,3,0
25.77444,3,0
25.77847,3,0
25.78245,3,0
25.78665,3,0
25.79066,3,0
25.79493,3,0
25.7992,3,0
25.80372,3,0
25.808,3,0
25.81202,3,0
25.81664,3,0
25.82088,3,0
25.82494,3,0
25.82903,3,0
25.83309,3,0
25.8371,3,0
25.84118,3,0
25.84538,3,0
25.84944,3,0
25.85342,3,0
25.85745,3,0
25.86149,3,0
25.8657,3,0
25.86991,3,0
25.87391,3,0
25.87813,3,0
25.88219,3,0
25.88625,3,0
25.89055,3,0
25.89484,3,0
25.89892,3,0
25.9029,3,0
25.90705,3,0
25.91116,3,0
25.91531,3,0
25.91936,3,0
25.92344,3,0
25.92751,3,0
25.9315,3,0
25.93547,3,0
25.93976,3,0
25.94375,3,0
25.94783,3,0
25.95205,3,0
25.95625,3,0
25.96052,3,0
25.96471,3,0
25.96895,3,0
25.97297,3,0
25.97694,3,0
25.98095,3,0
25.98519,3,0
25.98942,3,0
25.99341,3,0
25.99743,3,0
26.00145,3,0
26.00541,3,0
26.00968,3,0
26.01415,3,0
26.01816,3,0
26.02221,3,0
26.02625,3,0
26.03042,3,0
26.0346,3,0
26.03859,3,0
26.04294,3,0
26.04696,3,0
26.05101,3,0
26.055,3,0
26.05954,3,0
26.06443,3,0
26.06937,3,0
26.07402,3,0
26.07911,3,0
26.08397,3,0
26.08845,3,0
26.09273,3,0
26.0973,3,0
26.10176,3,0
26.10649,3,0
26.11189,3,0
26.11616,3,0
26.12081,3,0
26.12514,3,0
26.12917,3,0
26.13321,3,0
26.13748,3,0
26.14205,3,0
26.14676,3,0
26.15219,3,0
26.15684,3,0
26.16103,3,0
26.16551,3,0
26.16972,3,0
26.1739,3,0
26.17805,3,0
26.18211,3,0
26.18612,3,0
26.19038,3,0
26.19444,3,0
26.19847,3,0
26.20248,3,0
26.20647,3,0
26.21061,3,0
26.21482,3,0
26.21881,3,0
26.22288,3,0
26.22696,3,0
26.23104,3,0
26.23518,3,0
26.23941,3,0
26.24346,3,0
26.2475,3,0
26.25154,3,0
26.25551,3,0
26.25998,3,0
26.2642,3,0
26.26822,3,0
26.27221,3,0
26.27629,3,0
26.28037,3,0
26.28458,3,0
26.28859,3,0
26.29264,3,0
26.29661,3,0
26.30597,3,0
26.31033,3,0
26.31498,3,0
26.31934,3,0
26.3234,3,0
26.32751,3,0
26.33148,3,0
26.33574,3,0
26.34002,3,0
26.34409,3,0
26.3481,3,0
26.35208,3,0
26.35616,3,0
26.36031,3,0
26.36453,3,0
26.36856,3,0
26.3726,3,0
26.37664,3,0
26.38058,3,0
26.38492,3,0
26.38924,3,0
26.39327,3,0
26.39731,3,0
26.4013,3,0
26.40541,3,0
26.40955,3,0
26.41376,3,0
26.41832,3,0
26.42251,3,0
26.4266,3,0
26.43064,3,0
26.43489,3,0
26.4391,3,0
26.44305,3,0
26.44714,3,0
26.45115,3,0
26.45525,3,0
26.4595,3,0
26.46371,3,0
26.46778,3,0
26.47175,3,0
26.47578,3,0
26.48015,3,0
26.4846,3,0
26.48881,3,0
26.49286,3,0
26.49718,3,0
26.50136,3,0
26.50614,3,0
26.51213,3,0
26.51687,3,0
26.5217,3,0
26.52638,3,0
26.53088,3,0
26.53572,3,0
26.54117,3,0
26.54615,3,0
26.55086,3,0
26.55528,3,0
26.55987,3,0
26.56521,3,0
26.57014,3,0
26.57495,3,0
26.57948,3,0
26.58362,3,0
26.58822,3,0
26.59354,3,0
26.59871,3,0
26.60286,3,0
26.60697,3,0
26.61099,3,0
26.61521,3,0
26.61975,3,0
26.62395,3,0
26.62825,3,0
26.6323,3,0
26.63635,3,0
26.64059,3,0
26.64477,3,0
26.64901,3,0
26.65323,3,0
26.65731,3,0
26.66144,3,0
26.66577,3,0
26.66998,3,0
26.67402,3,0
26.6781,3,0
26.68235,3,0
26.68642,3,0
26.69068,3,0
26.69476,3,0
26.69881,3,0
26.70286,3,0
26.70682,3,0
26.71092,3,0
26.71537,3,0
26.71942,3,0
26.72355,3,0
26.72778,3,0
26.73185,3,0
26.73607,3,0
26.7404,3,0
26.74456,3,0
26.7486,3,0
26.75272,3,0
26.75686,3,0
26.76111,3,0
26.76538,3,0
26.76935,3,0
26.77343,3,0
26.78159,3,0
26.78576,3,0
26.78993,3,0
26.79402,3,0
26.79805,3,0
26.80222,3,0
26.80637,3,0
26.81037,3,0
26.81457,3,0
26.81879,3,0
26.82308,3,0
26.82749,3,0
26.83197,3,0
26.83705,3,0
26.84217,3,0
26.84662,3,0
26.85138,3,0
26.85687,3,0
26.8624,3,0
26.86766,3,0
26.87362,3,0
26.87945,3,0
26.88456,3,0
26.89,3,0
26.89469,3,0
26.90028,3,0
26.90566,3,0
26.91109,3,0
26.91585,3,0
26.92068,3,0
26.92543,3,0
26.9299,3,0
26.93405,3,0
26.93826,3,0
26.94247,3,0
26.94663,3,0
26.95061,3,0
26.95516,3,0
26.95944,3,0
26.96345,3,0
26.96763,3,0
26.97174,3,0
26.976,3,0
26.98021,3,0
26.98444,3,0
26.9885,3,0
26.99253,3,0
26.99656,3,0
27.0009,3,0
27.00516,3,0
27.00925,3,0
27.01322,3,0
27.0179,3,0
27.02205,3,0
27.02627,3,0
27.03125,3,0
27.03537,3,0
27.03946,3,0
27.04355,3,0
27.0477,3,0
27.05193,3,0
27.05635,3,0
27.06042,3,0
27.06459,3,0
27.06865,3,0
27.07268,3,0
27.077,3,0
27.08109,3,0
27.08515,3,0
27.08916,3,0
27.09328,3,0
27.09728,3,0
27.10127,3,0
27.10536,3,0
27.10934,3,0
27.11338,3,0
27.11738,3,0
27.12175,3,0
27.12656,3,0
27.13114,3,0
27.13575,3,0
27.14061,3,0
27.14524,3,0
27.15055,3,0
27.15627,3,0
27.16167,3,0
27.16609,3,0
27.17077,3,0
27.17639,3,0
27.1825,3,0
27.1877,3,0
27.19242,3,0
27.19722,3,0
27.20181,3,0
27.20631,3,0
27.21169,3,0
27.21671,3,0
27.22138,3,0
27.22704,3,0
27.23171,3,0
27.23597,3,0
27.24002,3,0
27.24419,3,0
27.24818,3,0
27.25227,3,0
27.25627,3,0
27.26059,3,0
27.26486,3,0
27.2688,3,0
27.27291,3,0
27.27695,3,0
27.28107,3,0
27.28532,3,0
27.28957,3,0
27.29367,3,0
27.29763,3,0
27.30162,3,0
27.3056,3,0
27.30978,3,0
27.31386,3,0
27.31789,3,0
27.3222,3,0
27.32626,3,0
27.33024,3,0
27.33454,3,0
27.33852,3,0
27.34261,3,0
27.34664,3,0
27.35068,3,0
27.3549,3,0
27.35904,3,0
27.36333,3,0
27.36736,3,0
27.37135,3,0
27.37547,3,0
27.37971,3,0
27.38378,3,0
27.38782,3,0
27.39186,3,0
27.396,3,0
27.40005,3,0
27.40428,3,0
27.40831,3,0
27.4125,3,0
27.41667,3,0
27.42067,3,0
27.4248,3,0
27.42918,3,0
27.43325,3,0
27.43732,3,0
27.44133,3,0
27.44539,3,0
27.44939,3,0
27.45363,3,0
27.45769,3,0
27.4617,3,0
27.46572,3,0
27.46976,3,0
27.47455,3,0
27.4787,3,0
27.48273,3,0
27.48684,3,0
27.4908,3,0
27.49491,3,0
27.49923,3,0
27.50346,3,0
27.50754,3,0
27.5115,3,0
27.51561,3,0
27.51975,3,0
27.52398,3,0
27.52803,3,0
27.53207,3,0
27.53641,3,0
27.54057,3,0
27.5449,3,0
27.54901,3,0
27.55303,3,0
27.55718,3,0
27.5612,3,0
27.56524,3,0
27.56946,3,0
27.57367,3,0
27.57772,3,0
27.58172,3,0
27.5858,3,0
27.58981,3,0
27.59398,3,0
27.59827,3,0
27.60226,3,0
27.60633,3,0
27.61043,3,0
27.61447,3,0
27.61868,3,0
27.62269,3,0
27.62699,3,0
27.63096,3,0
27.63498,3,0
27.63899,3,0
27.64309,3,0
27.6474,3,0
27.65137,3,0
27.6554,3,0
27.65941,3,0
27.66365,3,0
27.66789,3,0
27.67187,3,0
27.67595,3,0
27.67996,3,0
27.68399,3,0
27.6884,3,0
27.69257,3,0
27.69671,3,0
27.7007,3,0
27.70475,3,0
27.70885,3,0
27.71298,3,0
27.71704,3,0
27.72112,3,0
27.72524,3,0
27.72923,3,0
27.73323,3,0
27.7375,3,0
27.74145,3,0
27.74558,3,0
27.74957,3,0
27.75358,3,0
27.75763,3,0
27.76172,3,0
27.76591,3,0
27.76994,3,0
27.77392,3,0
27.77816,3,0
27.78222,3,0
27.78632,3,0
27.7903,3,0
27.79852,3,0
27.80254,3,0
27.80668,3,0
27.8109,3,0
27.81497,3,0
27.81895,3,0
27.82296,3,0
27.82715,3,0
27.8311,3,0
27.83533,3,0
27.83938,3,0
27.84341,3,0
27.84746,3,0
27.85141,3,0
27.85544,3,0
27.8596,3,0
27.86385,3,0
27.86789,3,0
27.87194,3,0
27.87601,3,0
27.87997,3,0
27.88421,3,0
27.88831,3,0
27.89233,3,0
27.89638,3,0
27.90043,3,0
27.90482,3,0
27.90967,3,0
27.91464,3,0
27.91916,3,0
27.92325,3,0
27.92758,3,0
27.9332,3,0
27.93799,3,0
27.94255,3,0
27.94766,3,0
27.95303,3,0
27.95728,3,0
27.96206,3,0
27.96703,3,0
27.97107,3,0
27.97561,3,0
27.9799,3,0
27.98424,3,0
27.98935,3,0
27.99432,3,0
27.99849,3,0
28.00253,3,0
28.00666,3,0
28.01094,3,0
28.01537,3,0
28.01941,3,0
28.02359,3,0
28.02769,3,0
28.03174,3,0
28.03579,3,0
28.04006,3,0
28.04418,3,0
28.04816,3,0
28.0521,3,0
28.05626,3,0
28.06043,3,0
28.06468,3,0
28.06869,3,0
28.07267,3,0
