PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1667107,0,0
0.1997568,0,0
0.220246,0,0
0.2417226,0,0
0.2633491,0,0
0.2705414,0,0
0.2936734,0,0
0.3036995,0,0
0.3105447,0,0
0.3166189,0,0
0.3227044,0,0
0.3290765,0,0
0.3380729,0,0
0.3447689,0,0
0.3512003,0,0
0.3571665,0,0
0.3635183,0,0
0.3695874,0,0
0.3758412,0,0
0.3818699,0,0
0.3880037,0,0
0.3954673,0,0
0.4029623,1,0
0.4241228,2,0
0.4485074,2,0
0.4776851,2,0
0.4996643,2,0
0.5196221,2,0
0.5261502,2,0
0.5324055,2,0
0.5388996,2,0
0.5449843,2,0
0.5511021,2,0
0.5571686,2,0
0.5632958,2,0
0.5694783,2,0
0.5758899,2,0
0.598423,2,0
0.608001,2,0
0.6144856,2,0
0.6205542,2,0
0.6267652,2,0
0.6328078,2,0
0.6390541,2,0
0.6453969,2,0
0.6516024,2,0
0.6578023,2,0
0.6639727,2,0
0.6702408,2,0
0.6763503,2,0
0.6824069,2,0
0.688857,2,0
0.6954611,2,0
0.7019386,2,0
0.7081386,2,0
0.7145361,2,0
0.7206272,2,0
0.7271675,2,0
0.7506593,2,0
0.7615591,2,0
0.7680348,2,0
0.774664,2,0
0.7808515,2,0
0.7870154,2,0
0.7931489,2,0
0.7994165,2,0
0.8056298,2,0
0.8122312,2,0
0.8184446,2,0
0.824768,2,0
0.8310291,2,0
0.837393,2,0
0.8440102,2,0
0.8502479,2,0
0.8567735,2,0
0.8629822,2,0
0.869396,2,0
0.8756574,2,0
0.8820954,2,0
0.9062487,2,0
0.9162028,2,0
0.9227067,2,0
0.9293493,2,0
0.935621,2,0
0.9419002,2,0
0.948222,2,0
0.9548019,2,0
0.9612016,2,0
0.9675729,2,0
0.9749208,2,0
0.9825262,3,0
1.002248,3,0
1.010003,3,0
1.033061,3,0
1.04312,3,0
1.066108,3,0
1.091831,3,0
1.111611,3,0
