PlayTime,Score,Coin
0,0,0
0.02,0,0
0.12,0,0
0.1588959,0,0
0.1876186,0,0
0.2100811,0,0
0.2194313,0,0
0.2408962,0,0
0.2473827,0,0
0.2646906,0,0
0.2726124,0,0
0.2955743,0,0
0.3045991,0,0
0.3109419,0,0
0.3168364,0,0
0.322929,0,0
0.3287572,0,0
0.334434,0,0
0.3403111,0,0
0.346111,0,0
0.3519154,0,0
0.3576427,0,0
0.3633722,0,0
0.3691778,0,0
0.3750839,0,0
0.3809275,0,0
0.387194,0,0
0.3932361,0,0
0.3992382,0,0
0.4051732,0,0
0.4110252,0,0
0.4167536,0,0
0.4240377,0,0
0.4477328,1,0
0.4690188,1,0
0.4755696,1,0
0.4949873,1,0
0.5021565,1,0
0.5240473,1,0
0.5424688,1,0
0.5611586,1,0
0.5797782,1,0
0.6021969,1,0
0.6116487,1,0
0.6306834,1,0
0.6388018,1,0
0.6565475,2,0
0.6635217,2,0
0.6697755,2,0
0.6869884,2,0
0.694025,2,0
0.7129994,2,0
0.719543,2,0
0.7380415,2,0
0.7480609,2,0
0.7685076,2,0
0.7860903,2,0
0.8033354,2,0
0.8206299,2,0
0.8272621,2,0
0.8341571,2,0
0.8409699,2,0
0.8477098,2,0
0.854186,2,0
0.8604702,2,0
0.8664438,2,0
0.8723799,2,0
0.8782438,2,0
0.8850408,2,0
0.892678,2,0
0.9134503,3,0
0.9243715,3,0
0.9310131,3,0
0.9496289,3,0
0.9574133,3,0
0.9755022,3,0
0.9823634,3,0
1.000214,3,0
1.018517,3,0
1.036426,3,0
1.043499,3,0
1.064847,3,0
1.085284,3,0
1.092065,3,0
1.098098,3,0
1.104429,3,0
1.110919,3,0
1.117205,3,0
1.123851,3,0
1.130947,3,0
1.137503,3,0
1.144649,3,0
1.151178,3,0
1.157167,3,0
1.163352,3,0
1.170277,3,0
1.177724,3,0
1.201333,4,0
1.212984,4,0
1.23517,4,0
1.242591,4,0
1.26011,4,0
1.278578,4,0
